contestant_id,mean_CV_P,mean_CI_width_P,mean_elim_prob,T_i
AJ McLean_Cheryl Burke_29,0.721355,0.13523429742587414,0.074074075,9
Aaron Carter_Karina Smirnoff_9,1.1977421,0.7940441132674095,0.014583334,8
Adam Carolla_Julianne Hough_6,0.98097134,0.0911026234491146,0.104166664,4
Adam Rippon_Jenna Johnson_26,0.27022967,0.4765951538924128,0.0,4
Adrian Peterson_Britt Stewart_32,1.3581787,0.39032197970809646,0.020833334,4
Aiden Turner_Edyta Sliwinska_10,0.94462574,0.20649580618446634,0.0,4
Albert Reed_Anna Trebunskaya_5,1.207367,0.10595116257900368,0.0,2
Alek Skarlatos_Lindsay Arnold_21,0.6110171,0.661097574504939,0.018181818,11
Alexa PenaVega_Mark Ballas_21,0.86236763,0.05037861083773248,0.098148145,9
Alexandra Raisman_Mark Ballas_16,0.85319626,0.20645263784768755,0.058333337,10
Alexis Ren_Alan Bersten_27,0.9054913,0.24801353360396908,0.048148148,9
Alfonso Ribeiro_Witney Carson_19,0.49966863,0.7180161956486038,0.007575758,11
Alix Earle_Val Chmerkovskiy (Joey Graziadei week 9)_34,0.804456,0.15296060398210432,0.0,11
Ally Brooke_Sasha Farber_28,0.79190445,0.23926742946866641,0.0,11
Alyson Hannigan_Sasha Farber_32,1.7355316,0.6266103530003667,0.16818182,11
Amanda Kloots_Alan Bersten_30,1.5040767,0.12354991829601199,0.0,10
Amber Riley_Derek Hough_17,1.1605531,0.37590615660962856,0.012121213,11
Amber Rose_Maksim Chmerkoskiy_23,1.0760504,0.016461554895492246,0.3083333,6
Amy Purdy_Derek Hough_18,1.1273825,0.48575676081280095,0.016666668,10
Andy Dick_Sharna Burgess_16,0.91231334,0.07782698280383815,0.30238095,7
Andy Grammer_Allison Holker_21,0.7964667,0.23303802805894516,0.004166667,8
Andy Richter_Emma Slater/Kaitlyn Bristowe (week 9)_34,1.0501978,0.7614134935418001,0.36666667,9
Anna Delvey_Ezra Sosa_33,1.0192642,0.02512538388255052,0.15833333,2
Anne Heche_Keo Motsepe_29,0.7361367,0.009176731482239119,0.19166666,4
Antonio Brown_Sharna Burgess_22,0.9675898,0.4500876071326072,0.07037037,9
Antonio Sabato Jr._Cheryl Burke_19,0.74511534,0.2308992067509929,0.00952381,7
Apolo Anton Ohno_Julianne Hough_4,0.3220412,0.5377040151041,0.0,10
Apolo Anton Ohno_Karina Smirnoff_15,0.93296146,0.6192414445272232,0.009259259,9
