season,week,season_week,contestant_id,fanFavor,pct_fan_rank,pct_judge_rank
29,1,29_1,Justina Machado_Sasha Farber_29,-1.0,0.0,1.0
31,1,31_1,Charli D'Amelio_Mark Ballas_31,-1.0,0.0,1.0
1,5,1_5,John O'Hurley_Charlotte Jorgensen_1,-1.0,0.0,1.0
2,2,2_2,Stacy Keibler_Tony Dovolani_2,-1.0,0.0,1.0
29,4,29_4,Skai Jackson_Alan Bersten_29,-1.0,0.0,1.0
14,9,14_9,Maria Menounos_Derek Hough_14,-1.0,0.0,1.0
15,5,15_5,Sabrina Bryan_Louis van Amstel_15,-1.0,0.0,1.0
28,2,28_2,Hannah Brown_Alan Bersten_28,-1.0,0.0,1.0
28,1,28_1,James Van Der Beek_Emma Slater_28,-1.0,0.0,1.0
27,8,27_8,Juan Pablo Di Pace_Cheryl Burke_27,-1.0,0.0,1.0
24,9,24_9,Simone Biles_Sasha Farber_24,-1.0,0.0,1.0
24,6,24_6,Heather Morris_Maksim Chmerkoskiy_24,-1.0,0.0,1.0
22,9,22_9,Wanya Morris_Lindsay Arnold_22,-1.0,0.0,1.0
21,9,21_9,Alexa PenaVega_Mark Ballas_21,-1.0,0.0,1.0
20,9,20_9,Nastia Liukin_Derek Hough_20,-1.0,0.0,1.0
17,5,17_5,Christina Milian_Mark Ballas_17,-1.0,0.0,1.0
20,1,20_1,Rumer Willis_Valentin Chmerkovskiy_20,-1.0,0.0,1.0
1,6,1_6,Kelly Monaco_Alec Mazo_1,-1.0,0.0,1.0
18,3,18_3,Meryl Davis_Maksim Chmerkoskiy_18,-1.0,0.0,1.0
18,4,18_4,Meryl Davis_Maksim Chmerkoskiy_18,-1.0,0.0,1.0
14,10,14_10,Katherine Jenkins_Mark Ballas_14,-1.0,0.0,1.0
14,1,14_1,Jaleel White_Kym Johnson_14,-1.0,0.0,1.0
1,2,1_2,John O'Hurley_Charlotte Jorgensen_1,-1.0,0.0,1.0
33,5,33_5,Chandler Kinney_Brandon Armstrong_33,-1.0,0.0,1.0
33,7,33_7,Chandler Kinney_Brandon Armstrong_33,-1.0,0.0,1.0
33,6,33_6,Chandler Kinney_Brandon Armstrong_33,-1.0,0.0,1.0
34,5,34_5,Dylan Efron_Daniella Karagach (Rumer Willis week 9)_34,-1.0,0.0,1.0
34,3,34_3,Jordan Chiles_Ezra Sosa (Apolo Anton Ohno week 9)_34,-1.0,0.0,1.0
33,4,33_4,Danny Amendola_Witney Carson_33,-1.0,0.0,1.0
34,6,34_6,Jordan Chiles_Ezra Sosa (Apolo Anton Ohno week 9)_34,-1.0,0.0,1.0
34,8,34_8,Whitney Leavitt_Mark Ballas_34,-1.0,0.0,1.0
33,1,33_1,Chandler Kinney_Brandon Armstrong_33,-1.0,0.0,1.0
13,1,13_1,Chynna Phillips_Tony Dovolani_13,-1.0,0.0,1.0
32,4,32_4,Xochitl Gomez_Valentin Chmerkovskiy_32,-1.0,0.0,1.0
3,9,3_9,Emmitt Smith_Cheryl Burke_3,-1.0,0.0,1.0
4,10,4_10,Apolo Anton Ohno_Julianne Hough_4,-1.0,0.0,1.0
3,10,3_10,Emmitt Smith_Cheryl Burke_3,-1.0,0.0,1.0
32,10,32_10,Xochitl Gomez_Valentin Chmerkovskiy_32,-1.0,0.0,1.0
29,2,29_2,Kaitlyn Bristowe_Artem Chigvintsev_29,-0.9285714285714286,0.0714285714285714,1.0
31,2,31_2,Gabby Windey_Valentin Chmerkovskiy_31,-0.9285714285714286,0.0,0.9285714285714286
32,1,32_1,Charity Lawson_Artem Chigvintsev_32,-0.9230769230769232,0.0769230769230769,1.0
29,3,29_3,Nev Schulman_Jenna Johnson_29,-0.9230769230769232,0.0,0.9230769230769232
34,1,34_1,Whitney Leavitt_Mark Ballas_34,-0.9230769230769232,0.0,0.9230769230769232
34,2,34_2,Jordan Chiles_Ezra Sosa (Apolo Anton Ohno week 9)_34,-0.9230769230769232,0.0,0.9230769230769232
30,4,30_4,Melora Hardin_Artem Chigvintsev_30,-0.9166666666666666,0.0833333333333333,1.0
27,1,27_1,Tinashe_Brandon Armstrong_27,-0.9166666666666666,0.0,0.9166666666666666
32,2,32_2,Xochitl Gomez_Valentin Chmerkovskiy_32,-0.9166666666666666,0.0,0.9166666666666666
32,2,32_2,Jason Mraz_Daniella Karagach_32,-0.9166666666666666,0.0833333333333333,1.0
29,5,29_5,Johnny Weir_Britt Stewart_29,-0.9090909090909092,0.0909090909090909,1.0
18,1,18_1,Charlie White_Sharna Burgess_18,-0.9090909090909092,0.0909090909090909,1.0
25,4,25_4,Jordan Fisher_Lindsay Arnold_25,-0.9,0.1,1.0
33,3,33_3,Joey Graziadei_Jenna Johnson_33,-0.9,0.1,1.0
20,3,20_3,Nastia Liukin_Derek Hough_20,-0.9,0.1,1.0
5,2,5_2,Helio Castroneves_Julianne Hough_5,-0.9,0.1,1.0
9,4,9_4,Melissa Joan Hart_Mark Ballas_9,-0.9,0.1,1.0
25,3,25_3,Lindsey Stirling_Mark Ballas_25,-0.9,0.1,1.0
27,3,27_3,Juan Pablo Di Pace_Cheryl Burke_27,-0.9,0.1,1.0
10,1,10_1,Nicole Scherzinger_Derek Hough_10,-0.9,0.1,1.0
12,2,12_2,Chris Jericho_Cheryl Burke_12,-0.9,0.1,1.0
5,3,5_3,Jane Seymour_Tony Dovolani_5,-0.8888888888888888,0.1111111111111111,1.0
2,1,2_1,Giselle Fernandez_Jonathan Roberts_2,-0.8888888888888888,0.0,0.8888888888888888
2,1,2_1,Drew Lachey_Cheryl Burke_2,-0.8888888888888888,0.1111111111111111,1.0
29,7,29_7,Nev Schulman_Jenna Johnson_29,-0.8888888888888888,0.1111111111111111,1.0
31,6,31_6,Charli D'Amelio_Mark Ballas_31,-0.8888888888888888,0.1111111111111111,1.0
13,3,13_3,Chynna Phillips_Tony Dovolani_13,-0.8888888888888888,0.0,0.8888888888888888
3,3,3_3,Vivica A. Fox_Nick Kosovich_3,-0.875,0.0,0.875
34,7,34_7,Alix Earle_Val Chmerkovskiy (Joey Graziadei week 9)_34,-0.875,0.125,1.0
23,5,23_5,Marilu Henner_Derek Hough_23,-0.875,0.0,0.875
12,4,12_4,Chelsea Kane_Mark Ballas_12,-0.875,0.125,1.0
21,5,21_5,Alexa PenaVega_Mark Ballas_21,-0.875,0.125,1.0
30,7,30_7,Olivia Jade_Valentin Chmerkovskiy_30,-0.875,0.125,1.0
27,5,27_5,Juan Pablo Di Pace_Cheryl Burke_27,-0.875,0.0,0.875
28,5,28_5,James Van Der Beek_Emma Slater_28,-0.875,0.0,0.875
31,2,31_2,Charli D'Amelio_Mark Ballas_31,-0.8571428571428572,0.1428571428571428,1.0
29,8,29_8,Johnny Weir_Britt Stewart_29,-0.8571428571428572,0.1428571428571428,1.0
10,5,10_5,Nicole Scherzinger_Derek Hough_10,-0.8571428571428572,0.1428571428571428,1.0
30,2,30_2,Amanda Kloots_Alan Bersten_30,-0.8571428571428572,0.1428571428571428,1.0
30,2,30_2,Melanie C_Gleb Savchenko_30,-0.8571428571428571,0.0,0.8571428571428571
