season_week,season,week,n,k,edr,rank_elim,pct_elim,fanfavor_elim_rank,fanfavor_elim_percentage,rank_hits,pct_hits
10_2,10,2,11,1,0,['Buzz Aldrin_Ashly DelGrosso_10'],['Buzz Aldrin_Ashly DelGrosso_10'],0.1,0.1,0,0
10_3,10,3,10,1,0,['Buzz Aldrin_Ashly DelGrosso_10'],['Buzz Aldrin_Ashly DelGrosso_10'],0.0,0.0,1,1
10_4,10,4,9,1,1,['Aiden Turner_Edyta Sliwinska_10'],['Kate Gosselin_Tony Dovolani_10'],-0.125,0.125,1,0
10_5,10,5,8,1,0,['Kate Gosselin_Tony Dovolani_10'],['Kate Gosselin_Tony Dovolani_10'],0.0,0.0,1,1
10_7,10,7,6,1,0,['Niecy Nash_Louis van Amstel_10'],['Niecy Nash_Louis van Amstel_10'],0.0,0.0,0,0
10_8,10,8,5,1,0,['Niecy Nash_Louis van Amstel_10'],['Niecy Nash_Louis van Amstel_10'],0.0,0.0,1,1
10_9,10,9,4,1,0,['Chad Ochocinco_Cheryl Burke_10'],['Chad Ochocinco_Cheryl Burke_10'],0.0,0.0,1,1
11_1,11,1,12,1,0,['David Hasselhoff_Kym Johnson_11'],['David Hasselhoff_Kym Johnson_11'],-0.18181818181818182,-0.18181818181818182,1,1
11_2,11,2,11,1,0,['Michael Bolton_Chelsie Hightower_11'],['Michael Bolton_Chelsie Hightower_11'],0.0,0.0,1,1
11_3,11,3,10,1,0,['Margaret Cho_Louis van Amstel_11'],['Margaret Cho_Louis van Amstel_11'],0.0,0.0,1,1
11_4,11,4,9,1,0,['The Situation_Karina Smirnoff_11'],['The Situation_Karina Smirnoff_11'],0.125,0.125,1,1
11_5,11,5,8,1,0,['Florence Henderson_Corky Ballas_11'],['Florence Henderson_Corky Ballas_11'],-0.2857142857142857,-0.2857142857142857,1,1
11_6,11,6,7,1,1,['Kurt Warner_Anna Trebunskaya_11'],['Audrina Patridge_Tony Dovolani_11'],0.3333333333333333,-0.8333333333333334,0,1
11_7,11,7,6,1,0,['Rick Fox_Cheryl Burke_11'],['Rick Fox_Cheryl Burke_11'],-0.4,-0.4,1,1
11_8,11,8,5,1,0,['Kurt Warner_Anna Trebunskaya_11'],['Kurt Warner_Anna Trebunskaya_11'],-0.25,-0.25,1,1
11_9,11,9,4,1,0,['Brandy_Maksim Chmerkoskiy_11'],['Brandy_Maksim Chmerkoskiy_11'],-0.3333333333333333,-0.3333333333333333,1,1
12_2,12,2,11,1,0,['Mike Catherwood_Lacey Schwimmer_12'],['Mike Catherwood_Lacey Schwimmer_12'],-0.2,-0.2,1,1
12_3,12,3,10,1,0,['Wendy Williams_Tony Dovolani_12'],['Wendy Williams_Tony Dovolani_12'],0.0,0.0,1,1
12_4,12,4,9,1,0,['Sugar Ray Leonard_Anna Trebunskaya_12'],['Sugar Ray Leonard_Anna Trebunskaya_12'],-0.125,-0.125,1,1
12_5,12,5,8,1,0,['Kendra Wilkinson_Louis van Amstel_12'],['Kendra Wilkinson_Louis van Amstel_12'],-0.2857142857142857,-0.2857142857142857,0,0
12_6,12,6,7,1,0,['Chris Jericho_Cheryl Burke_12'],['Chris Jericho_Cheryl Burke_12'],0.16666666666666666,0.16666666666666666,1,1
12_7,12,7,6,1,0,['Kendra Wilkinson_Louis van Amstel_12'],['Kendra Wilkinson_Louis van Amstel_12'],-0.4,-0.4,1,1
12_8,12,8,5,1,0,['Romeo_Chelsie Hightower_12'],['Romeo_Chelsie Hightower_12'],-0.25,-0.25,1,1
12_9,12,9,4,1,0,['Ralph Macchio_Karina Smirnoff_12'],['Ralph Macchio_Karina Smirnoff_12'],0.0,0.0,1,1
13_1,13,1,12,1,0,['Metta World Peace (Ron)_Peta Murgatroyd_13'],['Metta World Peace (Ron)_Peta Murgatroyd_13'],0.09090909090909091,0.09090909090909091,1,1
13_2,13,2,11,1,0,['Elisabetta Canalis_Valentin Chmerkovskiy_13'],['Elisabetta Canalis_Valentin Chmerkovskiy_13'],-0.5,-0.5,1,1
13_3,13,3,10,1,0,['Chaz Bono_Lacey Schwimmer_13'],['Chaz Bono_Lacey Schwimmer_13'],0.2222222222222222,0.2222222222222222,0,0
13_4,13,4,9,1,1,['Carson Kressley_Anna Trebunskaya_13'],['Chaz Bono_Lacey Schwimmer_13'],0.375,-0.375,0,0
13_5,13,5,8,1,0,['Carson Kressley_Anna Trebunskaya_13'],['Carson Kressley_Anna Trebunskaya_13'],0.0,0.0,1,1
13_6,13,6,7,1,0,['Chaz Bono_Lacey Schwimmer_13'],['Chaz Bono_Lacey Schwimmer_13'],0.0,0.0,1,1
13_7,13,7,6,1,0,['David Arquette_Kym Johnson_13'],['David Arquette_Kym Johnson_13'],-0.2,-0.2,1,1
13_8,13,8,5,1,0,['Nancy Grace_Tristan MacManus_13'],['Nancy Grace_Tristan MacManus_13'],0.0,0.0,1,1
13_9,13,9,4,1,0,['Hope Solo_Maksim Chmerkoskiy_13'],['Hope Solo_Maksim Chmerkoskiy_13'],0.0,0.0,1,1
14_2,14,2,12,1,0,['Martina Navratilova_Tony Dovolani_14'],['Martina Navratilova_Tony Dovolani_14'],0.0,0.0,1,1
14_3,14,3,11,1,0,['Jack Wagner_Anna Trebunskaya_14'],['Jack Wagner_Anna Trebunskaya_14'],-0.2,-0.2,1,1
14_4,14,4,10,1,0,['Gladys Knight_Tristan MacManus_14'],['Gladys Knight_Tristan MacManus_14'],0.0,0.0,0,0
