season_week,season,week,tau,n
10_10,10,10,0.0,3
10_2,10,2,0.32727272727272727,11
10_3,10,3,0.5333333333333333,10
10_4,10,4,0.3611111111111111,9
10_5,10,5,0.3214285714285714,8
10_7,10,7,0.4,6
10_8,10,8,0.7000000000000001,5
10_9,10,9,0.5,4
11_1,11,1,0.16666666666666669,12
11_10,11,10,0.0,3
11_2,11,2,0.6545454545454545,11
11_3,11,3,0.7555555555555555,10
11_4,11,4,0.3611111111111111,9
11_5,11,5,0.46428571428571425,8
11_6,11,6,0.8571428571428571,7
11_7,11,7,0.5333333333333333,6
11_8,11,8,0.7000000000000001,5
11_9,11,9,0.5,4
12_10,12,10,0.0,3
12_2,12,2,0.39999999999999997,11
12_3,12,3,0.6666666666666667,10
12_4,12,4,0.3055555555555555,9
12_5,12,5,0.3214285714285714,8
12_6,12,6,0.5714285714285714,7
12_7,12,7,0.6666666666666666,6
12_8,12,8,0.7000000000000001,5
12_9,12,9,0.5,4
13_1,13,1,0.5,12
13_10,13,10,0.0,3
13_2,13,2,0.21818181818181817,11
13_3,13,3,0.5333333333333333,10
13_4,13,4,0.5833333333333333,9
13_5,13,5,0.6071428571428571,8
13_6,13,6,0.6666666666666666,7
13_7,13,7,0.8,6
13_8,13,8,0.30000000000000004,5
13_9,13,9,0.5,4
14_10,14,10,0.0,3
14_2,14,2,0.2727272727272727,12
14_3,14,3,0.3090909090909091,11
14_4,14,4,0.5555555555555556,10
14_5,14,5,0.38888888888888884,9
14_6,14,6,0.7857142857142857,8
14_7,14,7,0.8095238095238095,7
14_8,14,8,0.7333333333333333,6
14_9,14,9,0.5,4
15_1,15,1,0.641025641025641,13
15_10,15,10,0.0,3
15_2,15,2,0.6060606060606061,12
15_3,15,3,0.34545454545454546,11
15_4,15,4,0.5833333333333333,9
15_6,15,6,0.3214285714285714,8
15_8,15,8,0.38095238095238093,7
15_9,15,9,0.2,5
16_10,16,10,0.5,4
16_2,16,2,0.33333333333333337,12
16_3,16,3,0.43636363636363634,11
16_4,16,4,0.4,10
16_5,16,5,0.75,9
16_6,16,6,0.6071428571428571,8
16_7,16,7,0.6666666666666666,7
16_8,16,8,0.6666666666666666,6
16_9,16,9,0.7000000000000001,5
17_10,17,10,0.5,5
17_11,17,11,0.5,4
17_2,17,2,0.4090909090909091,12
17_3,17,3,0.7636363636363636,11
17_4,17,4,0.3111111111111111,10
17_5,17,5,0.4722222222222222,9
17_7,17,7,0.46428571428571425,8
17_8,17,8,0.47619047619047616,7
17_9,17,9,0.4,6
18_1,18,1,0.13636363636363635,12
18_10,18,10,0.16666666666666666,4
18_2,18,2,0.12727272727272726,11
18_5,18,5,0.5833333333333333,9
18_6,18,6,0.25,8
18_7,18,7,0.5714285714285714,7
18_8,18,8,0.5333333333333333,6
18_9,18,9,0.1,5
19_1,19,1,0.4230769230769231,13
19_10,19,10,0.7000000000000001,5
19_11,19,11,0.5,4
19_2,19,2,0.3484848484848485,12
19_3,19,3,0.2909090909090909,11
19_4,19,4,0.4444444444444445,10
19_6,19,6,0.3611111111111111,9
19_7,19,7,0.75,8
19_8,19,8,0.7619047619047619,7
19_9,19,9,0.6666666666666666,6
1_2,1,2,0.4,6
1_3,1,3,0.1,5
1_4,1,4,-0.16666666666666666,4
1_5,1,5,0.0,3
1_6,1,6,0.0,2
20_10,20,10,0.0,3
20_2,20,2,0.42424242424242425,12
20_3,20,3,0.45454545454545453,11
20_4,20,4,0.6888888888888889,10
20_5,20,5,0.2222222222222222,9
20_6,20,6,0.5,8
20_7,20,7,0.7142857142857142,7
20_8,20,8,0.7333333333333333,6
20_9,20,9,0.5,4
21_11,21,11,0.5,4
21_2,21,2,0.3717948717948718,13
21_4,21,4,0.6888888888888889,10
21_6,21,6,0.7222222222222222,9
21_7,21,7,0.42857142857142855,8
21_8,21,8,0.6190476190476191,7
21_9,21,9,0.2,6
22_10,22,10,0.0,3
22_2,22,2,0.5303030303030303,12
22_3,22,3,0.2545454545454545,11
22_4,22,4,0.22222222222222224,10
22_6,22,6,0.6944444444444444,9
22_7,22,7,0.6071428571428571,8
22_8,22,8,0.7333333333333333,6
22_9,22,9,0.6000000000000001,5
23_10,23,10,0.5,5
23_11,23,11,0.5,4
23_2,23,2,0.3846153846153846,13
23_3,23,3,0.24242424242424243,12
23_4,23,4,0.41818181818181815,11
23_6,23,6,0.8055555555555555,9
23_7,23,7,0.6071428571428571,8
23_8,23,8,0.47619047619047616,7
23_9,23,9,0.8,6
24_10,24,10,0.0,3
24_2,24,2,0.42424242424242425,12
24_3,24,3,0.41818181818181815,11
24_4,24,4,0.2888888888888889,10
24_5,24,5,0.4444444444444444,9
24_6,24,6,0.6428571428571428,8
24_7,24,7,0.6190476190476191,7
24_8,24,8,0.7000000000000001,5
24_9,24,9,0.5,4
25_10,25,10,0.5,4
25_2,25,2,0.3717948717948718,13
25_4,25,4,0.23636363636363636,11
25_6,25,6,0.611111111111111,9
25_7,25,7,0.7857142857142857,8
25_8,25,8,0.4,6
25_9,25,9,0.5,5
26_1,26,1,0.24444444444444446,10
26_2,26,2,0.6071428571428571,8
26_3,26,3,0.6,6
26_4,26,4,0.0,3
27_1,27,1,0.4615384615384615,13
27_2,27,2,0.5151515151515151,12
27_3,27,3,0.45454545454545453,11
27_4,27,4,0.4666666666666667,10
27_6,27,6,0.611111111111111,9
27_7,27,7,0.7142857142857142,8
27_8,27,8,0.5333333333333333,6
27_9,27,9,0.0,4
28_10,28,10,0.4,5
28_11,28,11,0.0,4
28_2,28,2,0.3939393939393939,12
28_4,28,4,0.6888888888888889,10
28_6,28,6,-0.1111111111111111,9
28_7,28,7,0.42857142857142855,8
28_8,28,8,0.23809523809523808,7
28_9,28,9,0.3333333333333333,6
29_10,29,10,0.5333333333333333,6
29_11,29,11,0.0,4
29_2,29,2,0.2666666666666667,15
29_3,29,3,0.26373626373626374,14
29_4,29,4,0.3717948717948718,13
29_5,29,5,0.3181818181818182,12
29_6,29,6,0.2545454545454545,11
29_7,29,7,0.22222222222222224,10
29_8,29,8,0.03571428571428571,8
29_9,29,9,0.0,7
