pro_dancer,mean_pred,delta_vs_baseline
Artem Chigvintsev,0.06239349516005199,0.03179843081408021
Alec Mazo,0.06079274725679367,0.030197682910821887
Tristan MacManus,0.05946114453267886,0.028866080186707076
Anna Trebunskaya,0.052681698017219926,0.022086633671248142
Alan Bersten,0.05101403041815517,0.020418966072183388
Koko Iwasaki,0.05101403041815517,0.020418966072183388
Fabian Sanchez,0.05101403041815517,0.020418966072183388
Gleb Savchenko,0.05101403041815517,0.020418966072183388
Henry Byalikov,0.05101403041815517,0.020418966072183388
Alan Bersten (Rashad Jennings week 9),0.05101403041815517,0.020418966072183388
Jan Ravnik,0.05101403041815517,0.020418966072183388
Jenna Johnson,0.05101403041815517,0.020418966072183388
Jesse DeSoto,0.05101403041815517,0.020418966072183388
Keo Motsepe,0.05101403041815517,0.020418966072183388
Nick Kosovich,0.05101403041815517,0.020418966072183388
Kym Herjavec,0.05101403041815517,0.020418966072183388
Lindsay Arnold,0.05101403041815517,0.020418966072183388
Ezra Sosa,0.05101403041815517,0.020418966072183388
Pasha Pashkov,0.05101403041815517,0.020418966072183388
Rylee Arnold,0.05101403041815517,0.020418966072183388
Sasha Farber,0.05101403041815517,0.020418966072183388
Tyne Stecklein,0.05101403041815517,0.020418966072183388
Val Chmerkovskiy,0.05101403041815517,0.020418966072183388
Val Chmerkovskiy (Joey Graziadei week 9),0.05101403041815517,0.020418966072183388
Ezra Sosa (Apolo Anton Ohno week 9),0.05101403041815517,0.020418966072183388
Inna Brayer,0.05101403041815517,0.020418966072183388
Emma Slater/Kaitlyn Bristowe (week 9),0.05101403041815517,0.020418966072183388
Damian Whitewood,0.05101403041815517,0.020418966072183388
Andrea Hale,0.05101403041815517,0.020418966072183388
Anna Demidova,0.05101403041815517,0.020418966072183388
Brandon Armstrong,0.05101403041815517,0.020418966072183388
Brian Fortuna,0.05101403041815517,0.020418966072183388
Britt Stewart,0.05101403041815517,0.020418966072183388
Charlotte Jorgensen,0.05101403041815517,0.020418966072183388
Witney Carson (Xoshitl Gomez week 9),0.05101403041815517,0.020418966072183388
Daniella Karagach (Rumer Willis week 9),0.05101403041815517,0.020418966072183388
Elena Grinenko,0.05101403041815517,0.020418966072183388
Daniella Karagach,0.05101403041815517,0.020418966072183388
Corky Ballas,0.04908078367823629,0.018485719332264505
Sharna Burgess,0.04397094345099973,0.013375879105027945
Mark Ballas,0.04259575515912626,0.012000690813154476
Jonathan Roberts,0.03853040748195213,0.007935343135980343
Kym Johnson,0.03567621287857203,0.005081148532600249
Chelsie Hightower,0.03514447713395946,0.004549412787987678
Louis van Amstel,0.02717260068091826,-0.0034224636650535233
Peta Murgatroyd,0.026723694446193928,-0.003871369899777856
Tony Dovolani,0.024958426155971165,-0.005636638190000619
Edyta Sliwinska,0.024417062598773145,-0.006178001747198639
Lacey Schwimmer,0.02182559671087046,-0.008769467635101325
Maksim Chmerkoskiy,0.02014954671903075,-0.010445517626941035
Julianne Hough,0.0170026052165222,-0.013592459129449584
Cheryl Burke,0.01685577713830687,-0.013739287207664916
Witney Carson,0.015967660782729265,-0.01462740356324252
Emma Slater,0.014345257818603062,-0.016249806527368724
Ashly DelGrosso,0.008431510193482684,-0.0221635541524891
Valentin Chmerkovskiy,0.006586570226645217,-0.024008494119326568
Allison Holker,0.00623248531023915,-0.024362579035732634
Karina Smirnoff,0.00386301587104995,-0.026732048474921832
Dmitry Chaplin,0.003812431958410808,-0.026782632387560977
Derek Hough,0.002316934557261686,-0.028278129788710096
