pro_dancer,mean_pred,delta_vs_baseline
Witney Carson,0.12943735867355646,0.005963129489601746
Chelsie Hightower,0.1288038649689041,0.005329635784949396
Derek Hough,0.1284449905298264,0.0049707613458716965
Karina Smirnoff,0.12777352887721302,0.004299299693258304
Ashly DelGrosso,0.1276224618552633,0.00414823267130858
Alec Mazo,0.12723954891934938,0.003765319735394665
Emma Slater,0.12721437384082637,0.003740144656871655
Lacey Schwimmer,0.12587480998752668,0.0024005808035719584
Julianne Hough,0.12495662271614728,0.0014823935321925663
Louis van Amstel,0.12488240133908673,0.0014081721551320175
Dmitry Chaplin,0.12480493953945172,0.0013307103554970057
Cheryl Burke,0.12428047546883612,0.0008062462848814067
Maksim Chmerkoskiy,0.124249252011666,0.0007750228277112886
Edyta Sliwinska,0.12376256537576177,0.0002883361918070565
Jonathan Roberts,0.12366467501198014,0.00019044582802542342
Sharna Burgess,0.12329909000310094,-0.0001751391808537811
Tristan MacManus,0.12316651626191562,-0.0003077129220390995
Tony Dovolani,0.12252413467752236,-0.0009500945064323529
Peta Murgatroyd,0.12198382744257541,-0.0014904017413793075
Valentin Chmerkovskiy,0.12191169038124564,-0.001562538802709082
Anna Trebunskaya,0.12182782540893568,-0.0016464037750190397
Kym Johnson,0.12136887806469664,-0.002105351119258081
Pasha Pashkov,0.12117038468308583,-0.0023038445008688874
Rylee Arnold,0.12117038468308583,-0.0023038445008688874
Sasha Farber,0.12117038468308583,-0.0023038445008688874
Nick Kosovich,0.12117038468308583,-0.0023038445008688874
Tyne Stecklein,0.12117038468308583,-0.0023038445008688874
Val Chmerkovskiy,0.12117038468308583,-0.0023038445008688874
Lindsay Arnold,0.12117038468308583,-0.0023038445008688874
Val Chmerkovskiy (Joey Graziadei week 9),0.12117038468308583,-0.0023038445008688874
Kym Herjavec,0.12117038468308583,-0.0023038445008688874
Koko Iwasaki,0.12117038468308583,-0.0023038445008688874
Keo Motsepe,0.12117038468308583,-0.0023038445008688874
Alan Bersten,0.12117038468308583,-0.0023038445008688874
Inna Brayer,0.12117038468308583,-0.0023038445008688874
Jesse DeSoto,0.12117038468308583,-0.0023038445008688874
Elena Grinenko,0.12117038468308583,-0.0023038445008688874
Andrea Hale,0.12117038468308583,-0.0023038445008688874
Anna Demidova,0.12117038468308583,-0.0023038445008688874
Brandon Armstrong,0.12117038468308583,-0.0023038445008688874
Brian Fortuna,0.12117038468308583,-0.0023038445008688874
Britt Stewart,0.12117038468308583,-0.0023038445008688874
Charlotte Jorgensen,0.12117038468308583,-0.0023038445008688874
Damian Whitewood,0.12117038468308583,-0.0023038445008688874
Daniella Karagach,0.12117038468308583,-0.0023038445008688874
Jenna Johnson,0.12117038468308583,-0.0023038445008688874
Daniella Karagach (Rumer Willis week 9),0.12117038468308583,-0.0023038445008688874
Emma Slater/Kaitlyn Bristowe (week 9),0.12117038468308583,-0.0023038445008688874
Ezra Sosa,0.12117038468308583,-0.0023038445008688874
Ezra Sosa (Apolo Anton Ohno week 9),0.12117038468308583,-0.0023038445008688874
Fabian Sanchez,0.12117038468308583,-0.0023038445008688874
Gleb Savchenko,0.12117038468308583,-0.0023038445008688874
Henry Byalikov,0.12117038468308583,-0.0023038445008688874
Alan Bersten (Rashad Jennings week 9),0.12117038468308583,-0.0023038445008688874
Jan Ravnik,0.12117038468308583,-0.0023038445008688874
Witney Carson (Xoshitl Gomez week 9),0.12117038468308583,-0.0023038445008688874
Allison Holker,0.12108371675691651,-0.0023905124270382078
Corky Ballas,0.12072402722597783,-0.002750201957976886
Artem Chigvintsev,0.12036577219096901,-0.003108456992985703
Mark Ballas,0.12002542667534247,-0.0034488025086122504
