pro_dancer,mean_pred,delta_vs_baseline
Allison Holker,0.013696335019879002,0.018585237511072494
Alec Mazo,0.01249562110280584,0.01738452359399933
Lacey Schwimmer,0.012273423931869712,0.017162326423063205
Jonathan Roberts,0.008465463692570858,0.01335436618376435
Chelsie Hightower,0.006886926557973201,0.011775829049166693
Dmitry Chaplin,0.0004702540213901908,0.005359156512583682
Karina Smirnoff,-0.00029891391586664445,0.0045899885753268475
Emma Slater,-0.0005070394954247085,0.004381862995768784
Louis van Amstel,-0.00157259904354641,0.0033163034476470818
Koko Iwasaki,-0.0018486149199212032,0.0030402875712722886
Alan Bersten (Rashad Jennings week 9),-0.0018486149199212032,0.0030402875712722886
Jan Ravnik,-0.0018486149199212032,0.0030402875712722886
Jenna Johnson,-0.0018486149199212032,0.0030402875712722886
Jesse DeSoto,-0.0018486149199212032,0.0030402875712722886
Keo Motsepe,-0.0018486149199212032,0.0030402875712722886
Alan Bersten,-0.0018486149199212032,0.0030402875712722886
Kym Herjavec,-0.0018486149199212032,0.0030402875712722886
Gleb Savchenko,-0.0018486149199212032,0.0030402875712722886
Lindsay Arnold,-0.0018486149199212032,0.0030402875712722886
Nick Kosovich,-0.0018486149199212032,0.0030402875712722886
Pasha Pashkov,-0.0018486149199212032,0.0030402875712722886
Rylee Arnold,-0.0018486149199212032,0.0030402875712722886
Sasha Farber,-0.0018486149199212032,0.0030402875712722886
Tyne Stecklein,-0.0018486149199212032,0.0030402875712722886
Val Chmerkovskiy,-0.0018486149199212032,0.0030402875712722886
Val Chmerkovskiy (Joey Graziadei week 9),-0.0018486149199212032,0.0030402875712722886
Henry Byalikov,-0.0018486149199212032,0.0030402875712722886
Inna Brayer,-0.0018486149199212032,0.0030402875712722886
Fabian Sanchez,-0.0018486149199212032,0.0030402875712722886
Damian Whitewood,-0.0018486149199212032,0.0030402875712722886
Andrea Hale,-0.0018486149199212032,0.0030402875712722886
Anna Demidova,-0.0018486149199212032,0.0030402875712722886
Brandon Armstrong,-0.0018486149199212032,0.0030402875712722886
Brian Fortuna,-0.0018486149199212032,0.0030402875712722886
Ezra Sosa (Apolo Anton Ohno week 9),-0.0018486149199212032,0.0030402875712722886
Britt Stewart,-0.0018486149199212032,0.0030402875712722886
Charlotte Jorgensen,-0.0018486149199212032,0.0030402875712722886
Witney Carson (Xoshitl Gomez week 9),-0.0018486149199212032,0.0030402875712722886
Daniella Karagach,-0.0018486149199212032,0.0030402875712722886
Elena Grinenko,-0.0018486149199212032,0.0030402875712722886
Ezra Sosa,-0.0018486149199212032,0.0030402875712722886
Emma Slater/Kaitlyn Bristowe (week 9),-0.0018486149199212032,0.0030402875712722886
Daniella Karagach (Rumer Willis week 9),-0.0018486149199212032,0.0030402875712722886
Sharna Burgess,-0.0032804966238352785,0.0016084058673582133
Tony Dovolani,-0.0033498904613746237,0.001539012029818868
Ashly DelGrosso,-0.004141762228346284,0.0007471402628472078
Corky Ballas,-0.004367604080389433,0.0005212984108040591
Peta Murgatroyd,-0.004440861633030479,0.0004480408581630131
Kym Johnson,-0.00493324382994994,-4.4341338756448065e-05
Cheryl Burke,-0.00527612237933044,-0.00038721988813694794
Julianne Hough,-0.005327173090019816,-0.0004382705988263246
Anna Trebunskaya,-0.006233147303695539,-0.001344244812502047
Maksim Chmerkoskiy,-0.007214353695722071,-0.002325451204528579
Tristan MacManus,-0.010581802031572045,-0.005692899540378553
Mark Ballas,-0.011553698688589723,-0.006664796197396231
Derek Hough,-0.011848145152319519,-0.006959242661126027
Valentin Chmerkovskiy,-0.01305304638951606,-0.008164143898322568
Witney Carson,-0.01353191199954579,-0.008643009508352298
Artem Chigvintsev,-0.013781710288418823,-0.00889280779722533
Edyta Sliwinska,-0.015361732672032315,-0.010472830180838822
