season_week,season,week,n,spearman_rho
1_1,1,1,6,0.7142857142857143
1_2,1,2,6,0.028571428571428574
1_3,1,3,5,0.49999999999999994
1_4,1,4,4,0.39999999999999997
1_5,1,5,3,1.0
1_6,1,6,2,
2_1,2,1,10,0.406060606060606
2_2,2,2,9,0.39999999999999997
2_3,2,3,8,0.261904761904762
2_4,2,4,7,0.6785714285714287
2_5,2,5,6,0.48571428571428577
2_6,2,6,5,0.7999999999999999
2_7,2,7,4,0.6000000000000001
2_8,2,8,3,0.5
3_1,3,1,11,0.7363636363636363
3_2,3,2,10,0.7939393939393938
3_3,3,3,9,0.6
3_4,3,4,8,0.9523809523809524
3_5,3,5,7,0.9642857142857145
3_6,3,6,5,0.8999999999999998
3_7,3,7,5,0.6
3_8,3,8,4,0.7999999999999999
3_9,3,9,3,-1.0
3_10,3,10,2,
4_1,4,1,11,0.5
4_2,4,2,11,0.7363636363636363
4_3,4,3,10,0.6484848484848483
4_4,4,4,9,0.75
4_5,4,5,8,0.9523809523809524
4_6,4,6,7,0.9285714285714288
4_7,4,7,6,0.7714285714285715
4_8,4,8,5,0.9999999999999999
4_9,4,9,4,0.7999999999999999
4_10,4,10,3,-1.0
5_1,5,1,12,0.5804195804195805
5_2,5,2,11,0.6090909090909091
5_3,5,3,10,0.8787878787878788
5_4,5,4,9,0.65
5_5,5,5,8,0.8571428571428572
5_6,5,6,7,0.8928571428571429
5_7,5,7,6,0.8285714285714287
5_8,5,8,5,0.7999999999999999
5_9,5,9,4,0.7999999999999999
5_10,5,10,3,1.0
6_1,6,1,12,0.8321678321678322
6_2,6,2,12,0.9090909090909092
6_3,6,3,10,0.6242424242424242
6_4,6,4,9,0.8666666666666667
6_5,6,5,8,0.9285714285714287
6_6,6,6,7,0.8214285714285715
6_7,6,7,6,0.8285714285714287
6_8,6,8,5,0.49999999999999994
6_9,6,9,4,0.7999999999999999
6_10,6,10,3,1.0
7_1,7,1,13,0.8956043956043955
7_2,7,2,11,0.8909090909090911
7_3,7,3,9,0.9333333333333332
7_4,7,4,9,0.8333333333333333
7_5,7,5,8,0.9285714285714287
7_6,7,6,7,0.9642857142857145
7_7,7,7,6,0.7142857142857143
