season_week,season,week,n,k,hits,hit_rate,exact_match
10_2,10,2,11,1,0,0.0,0
10_3,10,3,10,1,1,1.0,1
10_4,10,4,9,1,0,0.0,0
10_5,10,5,8,1,1,1.0,1
10_7,10,7,6,1,0,0.0,0
10_8,10,8,5,1,1,1.0,1
10_9,10,9,4,1,1,1.0,1
11_1,11,1,12,1,1,1.0,1
11_2,11,2,11,1,1,1.0,1
11_3,11,3,10,1,1,1.0,1
11_4,11,4,9,1,1,1.0,1
11_5,11,5,8,1,1,1.0,1
11_6,11,6,7,1,1,1.0,1
11_7,11,7,6,1,1,1.0,1
11_8,11,8,5,1,1,1.0,1
11_9,11,9,4,1,1,1.0,1
12_2,12,2,11,1,1,1.0,1
12_3,12,3,10,1,1,1.0,1
12_4,12,4,9,1,1,1.0,1
12_5,12,5,8,1,0,0.0,0
12_6,12,6,7,1,1,1.0,1
12_7,12,7,6,1,1,1.0,1
12_8,12,8,5,1,1,1.0,1
12_9,12,9,4,1,1,1.0,1
13_1,13,1,12,1,1,1.0,1
13_2,13,2,11,1,1,1.0,1
13_3,13,3,10,1,0,0.0,0
13_4,13,4,9,1,0,0.0,0
13_5,13,5,8,1,1,1.0,1
13_6,13,6,7,1,1,1.0,1
13_7,13,7,6,1,1,1.0,1
13_8,13,8,5,1,1,1.0,1
13_9,13,9,4,1,1,1.0,1
14_2,14,2,12,1,1,1.0,1
14_3,14,3,11,1,1,1.0,1
14_4,14,4,10,1,0,0.0,0
14_5,14,5,9,1,1,1.0,1
14_6,14,6,8,1,1,1.0,1
14_7,14,7,7,1,1,1.0,1
14_8,14,8,6,2,2,1.0,1
14_9,14,9,4,1,1,1.0,1
15_1,15,1,13,1,1,1.0,1
15_2,15,2,12,1,0,0.0,0
15_3,15,3,11,2,1,0.5,0
15_4,15,4,9,1,0,0.0,0
15_6,15,6,8,1,0,0.0,0
15_8,15,8,7,2,1,0.5,0
15_9,15,9,5,2,1,0.5,0
16_10,16,10,4,1,1,1.0,1
16_3,16,3,11,1,1,1.0,1
16_4,16,4,10,1,1,1.0,1
16_5,16,5,9,1,1,1.0,1
16_6,16,6,8,1,1,1.0,1
16_7,16,7,7,1,1,1.0,1
16_8,16,8,6,1,1,1.0,1
16_9,16,9,5,1,1,1.0,1
17_10,17,10,5,1,0,0.0,0
17_11,17,11,4,1,1,1.0,1
17_2,17,2,12,1,0,0.0,0
17_3,17,3,11,1,1,1.0,1
17_4,17,4,10,1,1,1.0,1
17_5,17,5,9,1,0,0.0,0
17_7,17,7,8,1,0,0.0,0
17_8,17,8,7,1,0,0.0,0
17_9,17,9,6,1,0,0.0,0
18_10,18,10,4,1,0,0.0,0
18_2,18,2,11,1,0,0.0,0
18_5,18,5,9,1,1,1.0,1
18_6,18,6,8,1,1,1.0,1
18_7,18,7,7,1,1,1.0,1
18_8,18,8,6,1,0,0.0,0
18_9,18,9,5,1,0,0.0,0
19_1,19,1,13,1,0,0.0,0
19_10,19,10,5,1,1,1.0,1
19_11,19,11,4,1,1,1.0,1
19_2,19,2,12,1,0,0.0,0
19_3,19,3,11,1,1,1.0,1
19_4,19,4,10,1,1,1.0,1
19_6,19,6,9,1,0,0.0,0
19_7,19,7,8,1,1,1.0,1
19_8,19,8,7,1,1,1.0,1
19_9,19,9,6,1,0,0.0,0
1_2,1,2,6,1,0,0.0,0
1_3,1,3,5,1,1,1.0,1
1_4,1,4,4,1,0,0.0,0
20_2,20,2,12,1,0,0.0,0
20_3,20,3,11,1,1,1.0,1
20_4,20,4,10,1,0,0.0,0
20_5,20,5,9,1,0,0.0,0
20_6,20,6,8,1,0,0.0,0
20_7,20,7,7,1,0,0.0,0
20_8,20,8,6,2,2,1.0,1
20_9,20,9,4,1,1,1.0,1
21_11,21,11,4,1,1,1.0,1
21_2,21,2,13,2,2,1.0,1
21_4,21,4,10,1,1,1.0,1
21_6,21,6,9,1,1,1.0,1
21_7,21,7,8,1,0,0.0,0
21_8,21,8,7,1,1,1.0,1
21_9,21,9,6,1,0,0.0,0
22_2,22,2,12,1,1,1.0,1
22_3,22,3,11,1,1,1.0,1
22_4,22,4,10,1,0,0.0,0
22_6,22,6,9,1,1,1.0,1
22_7,22,7,8,2,1,0.5,0
22_8,22,8,6,1,1,1.0,1
22_9,22,9,5,2,2,1.0,1
23_10,23,10,5,1,1,1.0,1
23_11,23,11,4,1,1,1.0,1
23_2,23,2,13,1,0,0.0,0
23_3,23,3,12,1,1,1.0,1
23_4,23,4,11,2,2,1.0,1
23_6,23,6,9,1,1,1.0,1
23_7,23,7,8,1,1,1.0,1
23_8,23,8,7,1,0,0.0,0
23_9,23,9,6,1,1,1.0,1
24_2,24,2,12,1,1,1.0,1
24_3,24,3,11,1,1,1.0,1
24_4,24,4,10,1,1,1.0,1
24_5,24,5,9,1,1,1.0,1
24_6,24,6,8,1,1,1.0,1
24_7,24,7,7,2,1,0.5,0
24_8,24,8,5,1,1,1.0,1
24_9,24,9,4,1,1,1.0,1
25_10,25,10,4,1,1,1.0,1
25_2,25,2,13,2,2,1.0,1
25_4,25,4,11,1,1,1.0,1
