celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,elimination_week,relative_progress,placement_percentile,eliminated_in_multi_week,n_eliminated_same_week,is_finalist,n_zero_eliminate_weeks_experienced,n_multi_eliminate_weeks_experienced,avg_judge_score,std_judge_score,max_judge_score,score_trend,score_improvement,avg_judge_disagreement,performance_consistency
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2,6,1,0.8333,0,0,1,1,0,0.467944627,0.840450113,1.575758006,-0.179518287,-0.872393793,0.286180246,0.756037729
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1,6,1,1,0,0,1,1,0,-0.290499367,1.125434633,1.212678125,0.34841001,2.017590461,0.750765051,0.913713023
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,5,3,0.5,0.3333,0,1,0,1,0,-1.058625808,0.956940207,0.973417168,-0.819666119,-1.639332238,0.450082355,0.878007437
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,4,4,0.6667,0.5,0,1,0,1,0,0.777492433,0.562225528,1.206045378,0.002865882,-0.026835479,0.393358027,0.191545983
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3,5,0.8333,0.6667,0,1,0,1,0,-0.134494436,0.846789494,0.973417168,-0.386738218,-1.385341269,0.476011737,0.663238072
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,6,2,0.3333,0.1667,0,1,0,1,0,-0.163145844,0.27796609,0.192165611,-0.211772021,-0.211772021,0.079763663,0.149745432
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,9,2,0.25,0.2,0,1,0,0,0,-0.216647213,1.187575438,1.047645444,-2.062965117,-2.062965117,0.166984875,1.458736623
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,6,5,0.625,0.5,0,1,0,0,0,0.023066109,0.711780133,0.945905303,-0.189850405,-1.163908957,0.176566457,0.666281275
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,5,6,0.75,0.6,0,1,0,0,0,-0.38370827,0.500935073,0.424895241,-0.138488869,-0.754435663,0.18162245,0.372955914
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,4,7,0.875,0.7,0,1,0,0,0,0.117778104,0.627154845,0.945905303,0.09288585,0.616405049,0.336491371,0.401483246
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3,8,1,0.8,0,0,1,0,0,0.93648185,0.547840808,1.858916681,-0.046998342,-0.076948048,0.156571795,0.457624869
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2,8,1,0.9,0,0,1,0,0,-0.609804181,0.809233318,0.424895241,-0.269579397,-1.662397682,0.161146764,0.771004253
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,8,3,0.375,0.3,0,1,0,0,0,0.35760204,0.510951692,1.047645444,-0.490879905,-0.981759811,0.103736146,0.494327182
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,7,4,0.5,0.4,0,1,0,0,0,-1.859468233,0.527411629,-1.009126198,-0.199372679,-0.511136014,0.263437089,0.325285615
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1,8,1,1,0,0,1,0,0,0.887492155,0.215950479,1.150735403,-0.047597082,-0.239540109,0.019415197,0.190482202
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,10,1,0.125,0.1,0,1,0,0,0,-1.513265641,0.403238919,-1.047645444,0,0,0.162601626,0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,3,0.3,0.2727,0,1,0,0,0,-0.504740899,0.376467451,0.327326835,0.100094276,0.200188552,0.16101641,0.167194236
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,4,0.4,0.3636,0,1,0,0,0,0.506145053,0.679138906,1.309307341,-0.166174578,-0.880454296,0.161620659,0.648122152
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,8,0.8,0.7273,0,1,0,1,1,0.435517539,0.745258745,1.318760947,-0.075687167,-0.095697836,0.221734041,0.672367541
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,9,0.9,0.8182,0,1,0,1,1,0.321946267,1.027924329,2.307831657,-0.10140296,-0.400911695,0.665247814,0.793194234
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,10,1,0.9091,0,0,1,1,1,0.548133202,1.033833835,2.04264872,-0.030245888,-1.561445548,0.720417989,0.758444127
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,10,1,1,0,0,1,1,1,0.155602624,0.899952153,1.328422328,-0.019679196,-1.097232007,0.499407027,0.709545407
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,2,0.2,0.1818,0,1,0,0,0,-0.312549427,0.569852737,0.400911695,-0.034281619,-0.034281619,0.405474467,0.024240766
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,5,0.5,0.4545,1,2,0,0,0,0.43247562,0.669994953,1.732050808,0.137511408,0.151446075,0.22713336,0.578300075
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,5,0.5,0.5455,1,2,0,0,0,-0.767660839,0.855209195,1.309307341,-0.147376501,-0.283025949,0.129591837,0.863299889
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,5,7,0.7,0.6364,0,1,0,1,1,-1.167183309,0.555655545,-0.24743583,-0.142335579,-1.011607612,0.227617075,0.407459791
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,1,0.1,0.0909,0,1,0,0,0,-1.688049241,0.696320312,-0.991728929,0,0,0.484861977,0
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,7,0.7,0.5455,0,1,0,1,0,-0.840182991,0.483167719,-0.214731251,-0.111110873,-0.327416893,0.158442465,0.368994609
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,4,9,0.9,0.7273,0,1,0,1,0,0.138849244,0.724660794,1.265496869,-0.155296262,-1.633285608,0.296857125,0.588431413
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,8,5,0.5,0.3636,0,1,0,1,0,-1.523068667,0.646191439,-0.214731251,-0.135936725,-0.824401238,0.246565309,0.530741162
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3,10,1,0.8182,0,0,1,1,0,0.622202784,0.848065352,1.773185283,-0.111381162,-1.827236612,0.287732964,0.74790005
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1,10,1,1,0,0,1,1,0,0.801727087,0.717665552,1.773185283,-0.062852607,0.036109804,0.396195859,0.509624202
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,10,3,0.3,0.1818,0,1,0,1,0,-0.361438743,0.579209273,0.671035159,-0.196435872,-0.392871743,0.227873467,0.468441788
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,11,2,0.2,0.0909,0,1,0,1,0,-0.19843591,0.444964555,0.671035159,-0.557920257,-0.557920257,0.130763689,0.394509197
Heather Mills,Jonathan Roberts,Model,,England,39,4,7,6,0.6,0.4545,0,1,0,1,0,0.190756502,0.528333764,0.85895569,-0.106525627,-0.157691399,0.065042135,0.514121646
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,5,8,0.8,0.6364,0,1,0,1,0,-0.971386613,0.674423408,-0.023877299,-0.106698883,0.020872282,0.058237807,0.673642358
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2,10,1,0.9091,0,0,1,1,0,0.793271809,0.52854676,1.910183954,-0.109617217,-1.698256018,0.088284427,0.484416416
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,9,4,0.4,0.2727,0,1,0,1,0,-0.454323446,0.850119806,0.85895569,0.134277739,0.002141888,0.03463512,0.923318867
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,5,8,0.8,0.6667,0,1,0,0,0,-0.134167822,0.435309029,0.694601169,-0.044331196,-0.322712957,0.121524065,0.339044584
