celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score_norm,week1_judge2_score_norm,week1_judge3_score_norm,week1_judge4_score_norm,week2_judge1_score_norm,week2_judge2_score_norm,week2_judge3_score_norm,week2_judge4_score_norm,week3_judge1_score_norm,week3_judge2_score_norm,week3_judge3_score_norm,week3_judge4_score_norm,week4_judge1_score_norm,week4_judge2_score_norm,week4_judge3_score_norm,week4_judge4_score_norm,week5_judge1_score_norm,week5_judge2_score_norm,week5_judge3_score_norm,week5_judge4_score_norm,week6_judge1_score_norm,week6_judge2_score_norm,week6_judge3_score_norm,week6_judge4_score_norm,week7_judge1_score_norm,week7_judge2_score_norm,week7_judge3_score_norm,week7_judge4_score_norm,week8_judge1_score_norm,week8_judge2_score_norm,week8_judge3_score_norm,week8_judge4_score_norm,week9_judge1_score_norm,week9_judge2_score_norm,week9_judge3_score_norm,week9_judge4_score_norm,week10_judge1_score_norm,week10_judge2_score_norm,week10_judge3_score_norm,week10_judge4_score_norm,week11_judge1_score_norm,week11_judge2_score_norm,week11_judge3_score_norm,week11_judge4_score_norm
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,0.973417168,0.973417168,-0.057259833,0,0.883961808,1.575758006,1.575758006,0,1.200028538,0.579324122,-0.041380294,0,-0.603022689,0.301511345,-1.507556723,0,1.098884512,1.098884512,1.098884512,0,-0.242535625,-0.242535625,-0.242535625,0,,,,,,,,,,,,,,,,,,,,
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,-1.087936835,-2.118613837,-2.118613837,0,-1.191426785,-0.499630587,-0.499630587,0,-0.662084711,-0.041380294,0.579324122,0,1.206045378,1.206045378,0.301511345,0,0.480761974,-0.755483102,-0.755483102,0,-1.697749375,1.212678125,1.212678125,0,,,,,,,,,,,,,,,,,,,,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,-1.087936835,0.973417168,-0.057259833,0,-1.191426785,-1.883222983,-1.191426785,0,-1.282789127,-1.903493544,-1.903493544,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,0.973417168,-0.057259833,0.973417168,0,0.883961808,0.883961808,0.883961808,0,0.579324122,1.200028538,1.200028538,0,-0.603022689,1.206045378,1.206045378,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,0.973417168,0.973417168,-0.057259833,0,0.883961808,0.192165611,-0.499630587,0,-0.041380294,-0.041380294,0.579324122,0,-0.603022689,-1.507556723,-0.603022689,0,0.480761974,-1.373605639,-1.373605639,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,-0.057259833,-0.057259833,-0.057259833,0,-0.499630587,0.192165611,-0.499630587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,0.349215148,1.047645444,1.047645444,0,-1.726136918,-1.009126198,-1.009126198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,-0.349215148,0.349215148,0.349215148,0,-0.292115478,0.424895241,-0.292115478,0,0.945905303,0.278207442,0.945905303,0,0.686015337,0.22129527,0.22129527,0,-1.378294616,-1.378294616,-0.385922492,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,0.349215148,-1.047645444,-0.349215148,0,0.424895241,-0.292115478,-0.292115478,0,-0.389490419,-0.389490419,0.278207442,0,-0.243424797,-0.243424797,-0.243424797,0,-0.385922492,-0.385922492,-0.385922492,0,-0.797081141,-1.716790151,-0.797081141,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,-1.047645444,0.349215148,0.349215148,0,-1.009126198,-0.292115478,-0.292115478,0,0.278207442,0.278207442,0.945905303,0,0.686015337,0.686015337,0.22129527,0,-1.378294616,0.606449631,0.606449631,0,0.122627868,0.122627868,0.122627868,0,0,0.5,0.5,0,0,0,0,0,,,,,,,,,,,,
