celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score_norm,week1_judge2_score_norm,week1_judge3_score_norm,week1_judge4_score_norm,week2_judge1_score_norm,week2_judge2_score_norm,week2_judge3_score_norm,week2_judge4_score_norm,week3_judge1_score_norm,week3_judge2_score_norm,week3_judge3_score_norm,week3_judge4_score_norm,week4_judge1_score_norm,week4_judge2_score_norm,week4_judge3_score_norm,week4_judge4_score_norm,week5_judge1_score_norm,week5_judge2_score_norm,week5_judge3_score_norm,week5_judge4_score_norm,week6_judge1_score_norm,week6_judge2_score_norm,week6_judge3_score_norm,week6_judge4_score_norm,week7_judge1_score_norm,week7_judge2_score_norm,week7_judge3_score_norm,week7_judge4_score_norm,week8_judge1_score_norm,week8_judge2_score_norm,week8_judge3_score_norm,week8_judge4_score_norm,week9_judge1_score_norm,week9_judge2_score_norm,week9_judge3_score_norm,week9_judge4_score_norm,week10_judge1_score_norm,week10_judge2_score_norm,week10_judge3_score_norm,week10_judge4_score_norm,week11_judge1_score_norm,week11_judge2_score_norm,week11_judge3_score_norm,week11_judge4_score_norm,avg_judge_score,std_judge_score,min_judge_score,max_judge_score,score_range,score_trend,score_improvement,avg_judge_disagreement,max_judge_disagreement,performance_consistency,n_weeks_with_scores,total_judge_scores,score_trend_r2
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,0.973417168,0.973417168,-0.057259833,0,0.883961808,1.575758006,1.575758006,0,1.200028538,0.579324122,-0.041380294,0,-0.603022689,0.301511345,-1.507556723,0,1.098884512,1.098884512,1.098884512,0,-0.242535625,-0.242535625,-0.242535625,0,,,,,,,,,,,,,,,,,,,,,0.467944627,0.840450113,-1.507556723,1.575758006,3.083314729,-0.179518287,-0.872393793,0.286180246,0.818181819,0.756037729,6,18,0.197332446
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,-1.087936835,-2.118613837,-2.118613837,0,-1.191426785,-0.499630587,-0.499630587,0,-0.662084711,-0.041380294,0.579324122,0,1.206045378,1.206045378,0.301511345,0,0.480761974,-0.755483102,-0.755483102,0,-1.697749375,1.212678125,1.212678125,0,,,,,,,,,,,,,,,,,,,,,-0.290499367,1.125434633,-2.118613837,1.212678125,3.331291962,0.34841001,2.017590461,0.750765051,2.823529411,0.913713023,6,18,0.508896734
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,-1.087936835,0.973417168,-0.057259833,0,-1.191426785,-1.883222983,-1.191426785,0,-1.282789127,-1.903493544,-1.903493544,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-1.058625808,0.956940207,-1.903493544,0.973417168,2.876910712,-0.819666119,-1.639332238,0.450082355,1.062295081,0.878007437,3,9,0.871520444
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,0.973417168,-0.057259833,0.973417168,0,0.883961808,0.883961808,0.883961808,0,0.579324122,1.200028538,1.200028538,0,-0.603022689,1.206045378,1.206045378,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.777492433,0.562225528,-0.603022689,1.206045378,1.809068067,0.002865882,-0.026835479,0.393358027,1.09090909,0.191545983,4,12,0.000373095
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,0.973417168,0.973417168,-0.057259833,0,0.883961808,0.192165611,-0.499630587,0,-0.041380294,-0.041380294,0.579324122,0,-0.603022689,-1.507556723,-0.603022689,0,0.480761974,-1.373605639,-1.373605639,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-0.134494436,0.846789494,-1.507556723,0.973417168,2.480973891,-0.386738218,-1.385341269,0.476011737,1.146226415,0.663238072,5,15,0.850032041
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,-0.057259833,-0.057259833,-0.057259833,0,-0.499630587,0.192165611,-0.499630587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-0.163145844,0.27796609,-0.499630587,0.192165611,0.691796198,-0.211772021,-0.211772021,0.079763663,0.159527327,0.149745432,2,6,1
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,0.349215148,1.047645444,1.047645444,0,-1.726136918,-1.009126198,-1.009126198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.216647213,1.187575438,-1.726136918,1.047645444,2.773782362,-2.062965117,-2.062965117,0.166984875,0.171368124,1.458736623,2,6,1
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,-0.349215148,0.349215148,0.349215148,0,-0.292115478,0.424895241,-0.292115478,0,0.945905303,0.278207442,0.945905303,0,0.686015337,0.22129527,0.22129527,0,-1.378294616,-1.378294616,-0.385922492,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.023066109,0.711780133,-1.378294616,0.945905303,2.324199919,-0.189850405,-1.163908957,0.176566457,0.328267477,0.666281275,5,15,0.202977476
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,0.349215148,-1.047645444,-0.349215148,0,0.424895241,-0.292115478,-0.292115478,0,-0.389490419,-0.389490419,0.278207442,0,-0.243424797,-0.243424797,-0.243424797,0,-0.385922492,-0.385922492,-0.385922492,0,-0.797081141,-1.716790151,-0.797081141,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.38370827,0.500935073,-1.716790151,0.424895241,2.141685392,-0.138488869,-0.754435663,0.18162245,0.487804878,0.372955914,6,18,0.482594963
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,-1.047645444,0.349215148,0.349215148,0,-1.009126198,-0.292115478,-0.292115478,0,0.278207442,0.278207442,0.945905303,0,0.686015337,0.686015337,0.22129527,0,-1.378294616,0.606449631,0.606449631,0,0.122627868,0.122627868,0.122627868,0,0,0.5,0.5,0,0,0,0,0,,,,,,,,,,,,,0.117778104,0.627154845,-1.378294616,0.945905303,2.324199919,0.09288585,0.616405049,0.336491371,1.313069909,0.401483246,7,20,0.2497877
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,1.047645444,-0.349215148,1.047645444,0,1.141905961,1.858916681,1.858916681,0,0.945905303,0.945905303,0.945905303,0,0.22129527,0.686015337,0.686015337,0,1.598821755,1.598821755,1.598821755,0,1.042336877,1.042336877,1.042336877,0,0.5,0.5,1,0,-0.100979073,0.808105335,0.808105335,0,,,,,,,,,,,,,0.93648185,0.547840808,-0.349215148,1.858916681,2.208131829,-0.046998342,-0.076948048,0.156571795,0.650406504,0.457624869,8,24,0.063284461
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,0.349215148,0.349215148,0.349215148,0,-0.292115478,0.424895241,0.424895241,0,-0.389490419,-1.05718828,-1.05718828,0,0.22129527,0.22129527,0.22129527,0,-1.378294616,-0.385922492,-0.385922492,0,-0.797081141,-1.716790151,-0.797081141,0,-1.5,-1.5,-2,0,-1.01006348,-1.01006348,-1.919420641,0,,,,,,,,,,,,,-0.609804181,0.809233318,-2,0.424895241,2.424895241,-0.269579397,-1.662397682,0.161146764,0.328267477,0.771004253,8,24,0.733518546
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,0.349215148,1.047645444,1.047645444,0,0.424895241,0.424895241,0.424895241,0,-0.389490419,0.278207442,-0.389490419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.35760204,0.510951692,-0.389490419,1.047645444,1.437135863,-0.490879905,-0.981759811,0.103736146,0.162601626,0.494327182,3,9,0.986101285
