celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score_norm,week1_judge2_score_norm,week1_judge3_score_norm,week1_judge4_score_norm,week2_judge1_score_norm,week2_judge2_score_norm,week2_judge3_score_norm,week2_judge4_score_norm,week3_judge1_score_norm,week3_judge2_score_norm,week3_judge3_score_norm,week3_judge4_score_norm,week4_judge1_score_norm,week4_judge2_score_norm,week4_judge3_score_norm,week4_judge4_score_norm,week5_judge1_score_norm,week5_judge2_score_norm,week5_judge3_score_norm,week5_judge4_score_norm,week6_judge1_score_norm,week6_judge2_score_norm,week6_judge3_score_norm,week6_judge4_score_norm,week7_judge1_score_norm,week7_judge2_score_norm,week7_judge3_score_norm,week7_judge4_score_norm,week8_judge1_score_norm,week8_judge2_score_norm,week8_judge3_score_norm,week8_judge4_score_norm,week9_judge1_score_norm,week9_judge2_score_norm,week9_judge3_score_norm,week9_judge4_score_norm,week10_judge1_score_norm,week10_judge2_score_norm,week10_judge3_score_norm,week10_judge4_score_norm,week11_judge1_score_norm,week11_judge2_score_norm,week11_judge3_score_norm,week11_judge4_score_norm,avg_judge_score,std_judge_score,min_judge_score,max_judge_score,score_range,score_trend,score_improvement,avg_judge_disagreement,max_judge_disagreement,performance_consistency,n_weeks_with_scores,total_judge_scores,score_trend_r2
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,0.973417168,0.973417168,-0.057259833,0.0,0.883961808,1.575758006,1.575758006,0.0,1.200028538,0.579324122,-0.041380294,0.0,-0.603022689,0.301511345,-1.507556723,0.0,1.098884512,1.098884512,1.098884512,0.0,-0.242535625,-0.242535625,-0.242535625,0.0,,,,,,,,,,,,,,,,,,,,,0.4679446268333332,0.8404501132388309,-1.507556723,1.575758006,3.083314729,-0.17951828738095238,-0.8723937926666667,0.28618024622645843,0.8181818186643132,0.7560377293767061,6,18,0.19733244589267954
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,-1.087936835,-2.118613837,-2.118613837,0.0,-1.191426785,-0.499630587,-0.499630587,0.0,-0.662084711,-0.041380294,0.579324122,0.0,1.206045378,1.206045378,0.301511345,0.0,0.480761974,-0.755483102,-0.755483102,0.0,-1.697749375,1.212678125,1.212678125,0.0,,,,,,,,,,,,,,,,,,,,,-0.29049936694444445,1.1254346334240792,-2.118613837,1.212678125,3.331291962,0.3484100103904762,2.017590461333333,0.75076505097514,2.8235294109187503,0.913713023079456,6,18,0.5088967338332112
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,-1.087936835,0.973417168,-0.057259833,0.0,-1.191426785,-1.883222983,-1.191426785,0.0,-1.282789127,-1.903493544,-1.903493544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-1.0586258075555555,0.9569402074292148,-1.903493544,0.973417168,2.876910712,-0.8196661191666664,-1.639332238333333,0.4500823552348509,1.062295081421031,0.8780074366948003,3,9,0.8715204438267468
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,0.973417168,-0.057259833,0.973417168,0.0,0.883961808,0.883961808,0.883961808,0.0,0.579324122,1.200028538,1.200028538,0.0,-0.603022689,1.206045378,1.206045378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.7774924326666667,0.5622255279891288,-0.603022689,1.206045378,1.8090680670000001,0.0028658821999999915,-0.02683547866666669,0.3933580269559477,1.0909090903463723,0.19154598284648164,4,12,0.00037309490918326153
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,0.973417168,0.973417168,-0.057259833,0.0,0.883961808,0.192165611,-0.499630587,0.0,-0.041380294,-0.041380294,0.579324122,0.0,-0.603022689,-1.507556723,-0.603022689,0.0,0.480761974,-1.373605639,-1.373605639,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-0.13449443573333333,0.8467894937284517,-1.507556723,0.973417168,2.480973891,-0.3867382182333334,-1.385341269,0.4760117367910842,1.1462264147144392,0.663238072246911,5,15,0.8500320406649916
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,-0.057259833,-0.057259833,-0.057259833,0.0,-0.499630587,0.192165611,-0.499630587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-0.1631458436666667,0.2779660902247774,-0.499630587,0.192165611,0.691796198,-0.21177202133333337,-0.21177202133333337,0.0797636632612092,0.1595273265224184,0.14974543235038223,2,6,1.0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,0.349215148,1.047645444,1.047645444,0.0,-1.726136918,-1.009126198,-1.009126198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-0.21664721299999998,1.1875754384054076,-1.726136918,1.047645444,2.773782362,-2.0629651166666663,-2.0629651166666663,0.1669848751609277,0.17136812419830613,1.4587366233462968,2,6,1.0
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,-0.349215148,0.349215148,0.349215148,0.0,-0.292115478,0.424895241,-0.292115478,0.0,0.945905303,0.278207442,0.945905303,0.0,0.686015337,0.22129527,0.22129527,0.0,-1.378294616,-1.378294616,-0.385922492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.023066108933333343,0.7117801334178556,-1.378294616,0.945905303,2.324199919,-0.18985040506666673,-1.1639089573333334,0.1765664570853517,0.32826747749742385,0.6662812747971166,5,15,0.20297747648515913
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,0.349215148,-1.047645444,-0.349215148,0.0,0.424895241,-0.292115478,-0.292115478,0.0,-0.389490419,-0.389490419,0.278207442,0.0,-0.243424797,-0.243424797,-0.243424797,0.0,-0.385922492,-0.385922492,-0.385922492,0.0,-0.797081141,-1.716790151,-0.797081141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-0.3837082697222222,0.5009350730298477,-1.716790151,0.424895241,2.1416853920000003,-0.1384888687904762,-0.754435663,0.1816224501628886,0.48780487837064757,0.3729559137216675,6,18,0.4825949625647873
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,-1.047645444,0.349215148,0.349215148,0.0,-1.009126198,-0.292115478,-0.292115478,0.0,0.278207442,0.278207442,0.945905303,0.0,0.686015337,0.686015337,0.22129527,0.0,-1.378294616,0.606449631,0.606449631,0.0,0.122627868,0.122627868,0.122627868,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.11777810395000002,0.6271548450834995,-1.378294616,0.945905303,2.324199919,0.09288585022619048,0.6164050493333334,0.33649137077778885,1.3130699086665325,0.40148324611608915,7,20,0.24978769973573658
