season,week,n_eliminated,zero_eliminate,multi_eliminate,is_finals,eliminated_names
1,1,0,1,0,0,None
1,2,1,0,0,0,Trista Sutter
1,3,1,0,0,0,Evander Holyfield
1,4,1,0,0,0,Rachel Hunter
1,5,1,0,0,0,Joey McIntyre
1,6,0,1,0,1,None
2,1,1,0,0,0,Kenny Mayne
2,2,1,0,0,0,Tatum O'Neal
2,3,1,0,0,0,Giselle Fernandez
2,4,1,0,0,0,Master P
2,5,1,0,0,0,Tia Carrere
2,6,1,0,0,0,George Hamilton
2,7,1,0,0,0,Lisa Rinna
2,8,0,1,0,1,None
3,1,1,0,0,0,Tucker Carlson
3,2,1,0,0,0,Shanna Moakler
3,3,1,0,0,0,Harry Hamlin
3,4,1,0,0,0,Vivica A. Fox
3,5,2,0,1,0,"Willa Ford, Sara Evans"
3,6,0,1,0,0,None
3,7,1,0,0,0,Jerry Springer
3,8,1,0,0,0,Monique Coleman
3,9,1,0,0,0,Joey Lawrence
3,10,0,1,0,1,None
4,1,0,1,0,0,None
4,2,1,0,0,0,Paulina Porizkova
4,3,1,0,0,0,Shandi Finnessey
4,4,1,0,0,0,Leeza Gibbons
4,5,1,0,0,0,Clyde Drexler
4,6,1,0,0,0,Heather Mills
4,7,1,0,0,0,John Ratzenberger
4,8,1,0,0,0,Billy Ray Cyrus
4,9,1,0,0,0,Ian Ziering
4,10,0,1,0,1,None
5,1,1,0,0,0,Josie Maran
5,2,1,0,0,0,Albert Reed
5,3,1,0,0,0,Wayne Newton
5,4,1,0,0,0,Floyd Mayweather Jr. 
5,5,1,0,0,0,Mark Cuban
5,6,1,0,0,0,Sabrina Bryan
5,7,1,0,0,0,Jane Seymour
5,8,1,0,0,0,Cameron Mathison
5,9,1,0,0,0,Jennie Garth
5,10,0,1,0,1,None
6,1,0,1,0,0,None
6,2,2,0,1,0,"Monica Seles, Penn Jillette"
6,3,1,0,0,0,Steve Guttenberg
6,4,1,0,0,0,Adam Carolla
6,5,1,0,0,0,Priscilla Presley
6,6,1,0,0,0,Marlee Matlin
6,7,1,0,0,0,Shannon Elizabeth
6,8,1,0,0,0,Mario
6,9,1,0,0,0,Marissa Jaret Winokur
6,10,0,1,0,1,None
7,1,2,0,1,0,"Ted McGinley, Jeffrey Ross"
7,2,2,0,1,0,"Misty May-Treanor, Kim Kardashian"
